datetime,speed,new_time
2012-07-23 14:03:26.306964,462.5782897413055,2012-07-13 14:01:53.197486
2012-07-23 14:35:09.708309,478.7210256190483,2012-07-13 14:33:36.598831
2012-07-23 15:06:52.477763,488.1133955594678,2012-07-13 15:05:19.368285
2012-07-23 15:38:31.653361,459.1130592313625,2012-07-13 15:36:58.543883
2012-07-23 16:09:22.805554,471.2025587255307,2012-07-13 16:07:49.696076
2012-07-23 16:32:35.997710,485.6702274977806,2012-07-13 16:31:02.888232
2012-07-23 16:59:31.851015,662.3275051989363,2012-07-13 16:57:58.741537
2012-07-23 17:31:12.132415,645.1403092611458,2012-07-13 17:29:39.022937
2012-07-23 18:02:58.890655,697.1443641809174,2012-07-13 18:01:25.781177
2012-07-23 18:37:34.086250,701.4840157389444,2012-07-13 18:36:00.976772
2012-07-23 19:09:16.658240,708.7668963239503,2012-07-13 19:07:43.548762
2012-07-23 19:40:16.594789,788.3119819,2012-07-13 19:38:43.485311
2012-07-23 19:51:53.346018,843.3797428,2012-07-13 19:50:20.236540
2012-07-23 20:24:28.765193,887.4911536275281,2012-07-13 20:22:55.655715
2012-07-23 20:43:23.189786,1000.519673068818,2012-07-13 20:41:50.080308
2012-07-23 20:45:03.867142,1152.513409161657,2012-07-13 20:43:30.757664
2012-07-23 20:45:13.424432,1254.6126939636674,2012-07-13 20:43:40.314954
2012-07-23 20:45:22.981721,1356.7119787656782,2012-07-13 20:43:49.872243
2012-07-23 20:48:29.348866,1500.5892088754752,2012-07-13 20:46:56.239388
2012-07-23 20:51:33.109478,1616.621179493815,2012-07-13 20:50:00.000000
2012-07-23 20:51:42.666767,1718.7204642958254,2012-07-13 20:50:09.557289
2012-07-23 20:51:52.224057,1820.819749097836,2012-07-13 20:50:19.114579
2012-07-23 20:52:01.781346,1922.9190338998465,2012-07-13 20:50:28.671868
2012-07-23 20:58:24.159811,2313.700954237833,2012-07-13 20:56:51.050333
2012-07-23 21:02:43.423010,2004.9447257724487,2012-07-13 21:01:10.313532
2012-07-23 21:02:52.111455,2097.762257410641,2012-07-13 21:01:19.001977
2012-07-23 21:09:16.068320,2197.562892074663,2012-07-13 21:07:42.958842
2012-07-23 21:37:58.940888,1992.2702676987717,2012-07-13 21:36:25.831410
2012-07-23 21:58:21.523578,1955.6364595970144,2012-07-13 21:56:48.414100
2012-07-23 22:20:43.091889,1818.8093729837155,2012-07-13 22:19:09.982411
2012-07-23 22:21:34.932945,1756.934370581787,2012-07-13 22:20:01.823467
2012-07-23 22:55:21.295529,1752.6691999709064,2012-07-13 22:53:48.186051
2012-07-23 23:25:14.445770,1617.157503259149,2012-07-13 23:23:41.336292
2012-07-23 23:41:06.533847,1585.3898973731789,2012-07-13 23:39:33.424369
2012-07-24 00:10:22.083807,1605.248769252251,2012-07-14 00:08:48.974329
2012-07-24 00:42:03.178762,1596.7526694587643,2012-07-14 00:40:30.069284
2012-07-24 01:13:39.826812,1540.750869381367,2012-07-14 01:12:06.717334
2012-07-24 01:45:18.015087,1501.2030862761949,2012-07-14 01:43:44.905609
2012-07-24 02:06:50.243562,1452.971200566727,2012-07-14 02:05:17.134084
2012-07-24 02:27:59.886029,1348.1618047380105,2012-07-14 02:26:26.776551
2012-07-24 02:55:42.159324,1374.2472518744644,2012-07-14 02:54:09.049846
2012-07-24 03:22:24.656122,1500.571610751925,2012-07-14 03:20:51.546644
2012-07-24 03:54:54.884233,1462.8410053135883,2012-07-14 03:53:21.774755
2012-07-24 04:26:35.284112,1446.919502989046,2012-07-14 04:25:02.174634
2012-07-24 04:58:12.879992,1401.0432518176333,2012-07-14 04:56:39.770514
2012-07-24 05:29:52.687477,1378.793281426851,2012-07-14 05:28:19.577999
2012-07-24 06:01:33.166342,1363.7155748444743,2012-07-14 06:00:00.056864
2012-07-24 06:33:15.501374,1368.467068202984,2012-07-14 06:31:42.391896
2012-07-24 07:04:54.795451,1340.7324254881269,2012-07-14 07:03:21.685973
2012-07-24 07:36:32.233360,1293.1685828323834,2012-07-14 07:34:59.123882
2012-07-24 08:08:15.200279,1304.670442128216,2012-07-14 08:06:42.090801
2012-07-24 08:39:05.068951,1303.0482608121974,2012-07-14 08:37:31.959473
2012-07-24 09:11:35.881558,1271.561743865884,2012-07-14 09:10:02.772080
2012-07-24 09:43:16.755351,1260.7030159943347,2012-07-14 09:41:43.645873
2012-07-24 10:15:47.733828,1230.988470106569,2012-07-14 10:14:14.624350
2012-07-24 10:46:35.975392,1211.9840965019432,2012-07-14 10:45:02.865914
2012-07-24 11:18:16.217299,1194.3750026930704,2012-07-14 11:16:43.107821
2012-07-24 11:49:57.959937,1192.7980279853398,2012-07-14 11:48:24.850459
2012-07-24 12:21:39.821054,1192.4867468908576,2012-07-14 12:20:06.711576
2012-07-24 12:53:19.154624,1165.174002047083,2012-07-14 12:51:46.045146
2012-07-24 13:24:58.725144,1140.3926444298045,2012-07-14 13:23:25.615666
2012-07-24 13:56:40.072860,1134.596691011247,2012-07-14 13:55:06.963382
2012-07-24 14:28:21.341583,1127.9569418505243,2012-07-14 14:26:48.232105
2012-07-24 15:00:01.978420,1114.5668267524786,2012-07-14 14:58:28.868942
2012-07-24 15:31:43.879030,1114.6774435290788,2012-07-14 15:30:10.769552
2012-07-24 16:03:25.424204,1110.9909794659347,2012-07-14 16:01:52.314726
2012-07-24 16:35:03.493999,1070.1775027475142,2012-07-14 16:33:30.384521
2012-07-24 17:06:42.195682,1036.1143919664164,2012-07-14 17:05:09.086204
2012-07-24 17:41:40.206908,1020.3249245428694,2012-07-14 17:40:07.097430
2012-07-24 18:07:09.959353,1002.808127468559,2012-07-14 18:05:36.849875
2012-07-24 18:44:35.939937,984.5628602236466,2012-07-14 18:43:02.830459
2012-07-24 19:19:31.834765,979.1473805217116,2012-07-14 19:17:58.725287
2012-07-24 20:02:25.189265,994.9599230358316,2012-07-14 20:00:52.079787
2012-07-24 20:51:22.897327,978.1143287690302,2012-07-14 20:49:49.787849
2012-07-24 21:54:46.593233,977.2105013326766,2012-07-14 21:53:13.483755
2012-07-24 22:26:07.698620,960.3972083835604,2012-07-14 22:24:34.589142
2012-07-24 23:02:26.374473,941.4448673260544,2012-07-14 23:00:53.264995
2012-07-25 00:21:07.530677,952.2387183057637,2012-07-15 00:19:34.421199
2012-07-25 00:53:22.012956,931.0033140196996,2012-07-15 00:51:48.903478
2012-07-25 01:25:03.044722,921.8321776324806,2012-07-15 01:23:29.935244
2012-07-25 01:56:43.931688,911.1140823846254,2012-07-15 01:55:10.822210
2012-07-25 02:26:15.433212,903.4823628050927,2012-07-15 02:24:42.323734
2012-07-25 03:00:09.378439,928.9143938996044,2012-07-15 02:58:36.268961
2012-07-25 03:31:46.816348,881.3505512438608,2012-07-15 03:30:13.706870
2012-07-25 04:03:26.860791,861.6319681,2012-07-15 04:01:53.751313
2012-07-25 04:31:17.543449,854.4162803299414,2012-07-15 04:29:44.433971
2012-07-25 05:06:49.003308,844.133491,2012-07-15 05:05:15.893830
2012-07-25 05:38:30.982904,845.0879035660678,2012-07-15 05:36:57.873426
2012-07-25 06:10:12.804528,844.3547246005023,2012-07-15 06:08:39.695050
2012-07-25 06:41:05.141509,842.7146056,2012-07-15 06:39:32.032031
2012-07-25 07:30:51.833970,821.4319116677552,2012-07-15 07:29:18.724492
2012-07-25 08:01:25.099814,827.1497477015155,2012-07-15 07:59:51.990336
2012-07-25 08:34:17.254416,838.9509579353462,2012-07-15 08:32:44.144938
2012-07-25 09:05:57.180364,817.9666811578118,2012-07-15 09:04:24.070886
2012-07-25 09:37:36.790384,793.6072214116161,2012-07-15 09:36:03.680906
2012-07-25 13:00:00.000000,448.8,2012-07-15 12:58:26.890522
2012-07-25 14:00:00.000000,440.1,2012-07-15 13:58:26.890522
2012-07-25 15:00:00.000000,443.7,2012-07-15 14:58:26.890522
2012-07-25 16:00:00.000000,444.7,2012-07-15 15:58:26.890522
2012-07-25 17:00:00.000000,438.5,2012-07-15 16:58:26.890522
2012-07-25 18:00:00.000000,432.8,2012-07-15 17:58:26.890522
2012-07-25 19:00:00.000000,429.5,2012-07-15 18:58:26.890522
2012-07-25 20:00:00.000000,429.5,2012-07-15 19:58:26.890522
2012-07-25 21:00:00.000000,424.3,2012-07-15 20:58:26.890522
2012-07-25 22:00:00.000000,425.6,2012-07-15 21:58:26.890522
2012-07-25 23:00:00.000000,420.1,2012-07-15 22:58:26.890522
2012-07-26 00:00:00.000000,415.8,2012-07-15 23:58:26.890522
2012-07-26 01:00:00.000000,414.3,2012-07-16 00:58:26.890522
2012-07-26 02:00:00.000000,418.0,2012-07-16 01:58:26.890522
2012-07-26 03:00:00.000000,415.4,2012-07-16 02:58:26.890522
2012-07-26 05:00:00.000000,418.0,2012-07-16 04:58:26.890522
2012-07-26 06:00:00.000000,411.9,2012-07-16 05:58:26.890522
2012-07-26 07:00:00.000000,407.0,2012-07-16 06:58:26.890522
2012-07-26 08:00:00.000000,396.6,2012-07-16 07:58:26.890522
2012-07-26 09:00:00.000000,378.4,2012-07-16 08:58:26.890522
2012-07-26 10:00:00.000000,372.0,2012-07-16 09:58:26.890522
2012-07-26 11:00:00.000000,337.1,2012-07-16 10:58:26.890522
2012-07-26 12:00:00.000000,334.2,2012-07-16 11:58:26.890522
2012-07-26 13:00:00.000000,339.8,2012-07-16 12:58:26.890522
2012-07-26 14:00:00.000000,354.5,2012-07-16 13:58:26.890522
2012-07-26 15:00:00.000000,363.9,2012-07-16 14:58:26.890522
2012-07-26 16:00:00.000000,352.1,2012-07-16 15:58:26.890522
2012-07-26 17:00:00.000000,349.2,2012-07-16 16:58:26.890522
2012-07-26 18:00:00.000000,343.9,2012-07-16 17:58:26.890522
2012-07-26 19:00:00.000000,342.0,2012-07-16 18:58:26.890522
2012-07-26 20:00:00.000000,340.2,2012-07-16 19:58:26.890522
2012-07-26 21:00:00.000000,349.2,2012-07-16 20:58:26.890522
2012-07-26 22:00:00.000000,339.6,2012-07-16 21:58:26.890522
2012-07-26 23:00:00.000000,342.1,2012-07-16 22:58:26.890522
2012-07-27 00:00:00.000000,332.7,2012-07-16 23:58:26.890522
2012-07-27 01:00:00.000000,338.6,2012-07-17 00:58:26.890522
2012-07-27 02:00:00.000000,351.0,2012-07-17 01:58:26.890522
2012-07-27 03:00:00.000000,345.4,2012-07-17 02:58:26.890522
2012-07-27 04:00:00.000000,345.9,2012-07-17 03:58:26.890522
2012-07-27 05:00:00.000000,343.3,2012-07-17 04:58:26.890522
2012-07-27 06:00:00.000000,341.4,2012-07-17 05:58:26.890522
2012-07-27 07:00:00.000000,337.9,2012-07-17 06:58:26.890522
2012-07-27 08:00:00.000000,327.0,2012-07-17 07:58:26.890522
2012-07-27 09:00:00.000000,326.8,2012-07-17 08:58:26.890522
2012-07-27 10:00:00.000000,329.2,2012-07-17 09:58:26.890522
2012-07-27 11:00:00.000000,330.1,2012-07-17 10:58:26.890522
2012-07-27 12:00:00.000000,327.8,2012-07-17 11:58:26.890522
2012-07-27 13:00:00.000000,328.6,2012-07-17 12:58:26.890522
2012-07-27 14:00:00.000000,324.5,2012-07-17 13:58:26.890522
2012-07-27 15:00:00.000000,322.8,2012-07-17 14:58:26.890522
2012-07-27 16:00:00.000000,326.0,2012-07-17 15:58:26.890522
2012-07-27 17:00:00.000000,324.8,2012-07-17 16:58:26.890522
2012-07-27 18:00:00.000000,325.6,2012-07-17 17:58:26.890522
2012-07-27 19:00:00.000000,331.9,2012-07-17 18:58:26.890522
2012-07-27 20:00:00.000000,357.1,2012-07-17 19:58:26.890522
2012-07-27 21:00:00.000000,373.5,2012-07-17 20:58:26.890522
2012-07-27 22:00:00.000000,350.4,2012-07-17 21:58:26.890522
2012-07-27 23:00:00.000000,354.1,2012-07-17 22:58:26.890522
2012-07-28 00:00:00.000000,367.0,2012-07-17 23:58:26.890522
2012-07-28 01:00:00.000000,352.2,2012-07-18 00:58:26.890522
2012-07-28 02:00:00.000000,358.6,2012-07-18 01:58:26.890522
2012-07-28 03:00:00.000000,361.7,2012-07-18 02:58:26.890522
2012-07-28 04:00:00.000000,374.4,2012-07-18 03:58:26.890522
2012-07-28 05:00:00.000000,380.1,2012-07-18 04:58:26.890522
2012-07-28 06:00:00.000000,352.9,2012-07-18 05:58:26.890522
2012-07-28 07:00:00.000000,346.0,2012-07-18 06:58:26.890522
2012-07-28 08:00:00.000000,349.2,2012-07-18 07:58:26.890522
2012-07-28 09:00:00.000000,353.2,2012-07-18 08:58:26.890522
2012-07-28 10:00:00.000000,353.0,2012-07-18 09:58:26.890522
2012-07-28 11:00:00.000000,327.6,2012-07-18 10:58:26.890522
2012-07-28 12:00:00.000000,321.1,2012-07-18 11:58:26.890522
2012-07-28 13:00:00.000000,315.9,2012-07-18 12:58:26.890522
2012-07-28 14:00:00.000000,313.3,2012-07-18 13:58:26.890522
2012-07-28 15:00:00.000000,317.9,2012-07-18 14:58:26.890522
2012-07-28 16:00:00.000000,312.1,2012-07-18 15:58:26.890522
2012-07-28 17:00:00.000000,330.0,2012-07-18 16:58:26.890522
2012-07-28 18:00:00.000000,324.6,2012-07-18 17:58:26.890522
2012-07-28 19:00:00.000000,335.3,2012-07-18 18:58:26.890522
2012-07-28 20:00:00.000000,325.9,2012-07-18 19:58:26.890522
2012-07-28 22:00:00.000000,362.1,2012-07-18 21:58:26.890522
2012-07-28 23:00:00.000000,365.9,2012-07-18 22:58:26.890522
2012-07-29 00:00:00.000000,385.9,2012-07-18 23:58:26.890522
2012-07-29 01:00:00.000000,368.9,2012-07-19 00:58:26.890522
2012-07-29 02:00:00.000000,374.5,2012-07-19 01:58:26.890522
2012-07-29 03:00:00.000000,386.9,2012-07-19 02:58:26.890522
2012-07-29 04:00:00.000000,389.6,2012-07-19 03:58:26.890522
2012-07-29 05:00:00.000000,394.0,2012-07-19 04:58:26.890522
2012-07-29 06:00:00.000000,396.7,2012-07-19 05:58:26.890522
2012-07-29 07:00:00.000000,401.6,2012-07-19 06:58:26.890522
2012-07-29 08:00:00.000000,401.7,2012-07-19 07:58:26.890522
2012-07-29 09:00:00.000000,423.8,2012-07-19 08:58:26.890522
2012-07-29 10:00:00.000000,419.4,2012-07-19 09:58:26.890522
2012-07-29 11:00:00.000000,410.1,2012-07-19 10:58:26.890522
2012-07-29 12:00:00.000000,415.6,2012-07-19 11:58:26.890522
2012-07-29 13:00:00.000000,410.4,2012-07-19 12:58:26.890522
2012-07-29 14:00:00.000000,409.6,2012-07-19 13:58:26.890522
2012-07-29 15:00:00.000000,413.7,2012-07-19 14:58:26.890522
2012-07-29 16:00:00.000000,392.4,2012-07-19 15:58:26.890522
2012-07-29 17:00:00.000000,391.4,2012-07-19 16:58:26.890522
2012-07-29 18:00:00.000000,378.8,2012-07-19 17:58:26.890522
2012-07-29 19:00:00.000000,360.5,2012-07-19 18:58:26.890522
2012-07-29 20:00:00.000000,357.0,2012-07-19 19:58:26.890522
2012-07-29 21:00:00.000000,371.3,2012-07-19 20:58:26.890522
2012-07-29 22:00:00.000000,373.3,2012-07-19 21:58:26.890522
2012-07-29 23:00:00.000000,393.4,2012-07-19 22:58:26.890522
2012-07-30 00:00:00.000000,392.5,2012-07-19 23:58:26.890522
2012-07-30 01:00:00.000000,408.3,2012-07-20 00:58:26.890522
2012-07-30 02:00:00.000000,402.4,2012-07-20 01:58:26.890522
2012-07-30 03:00:00.000000,395.0,2012-07-20 02:58:26.890522
2012-07-30 04:00:00.000000,407.2,2012-07-20 03:58:26.890522
2012-07-30 05:00:00.000000,413.2,2012-07-20 04:58:26.890522
2012-07-30 06:00:00.000000,407.2,2012-07-20 05:58:26.890522
2012-07-30 07:00:00.000000,417.5,2012-07-20 06:58:26.890522
2012-07-30 08:00:00.000000,420.3,2012-07-20 07:58:26.890522
2012-07-30 09:00:00.000000,433.8,2012-07-20 08:58:26.890522
2012-07-30 10:00:00.000000,439.2,2012-07-20 09:58:26.890522
2012-07-30 11:00:00.000000,433.3,2012-07-20 10:58:26.890522
2012-07-30 12:00:00.000000,438.8,2012-07-20 11:58:26.890522
2012-07-30 13:00:00.000000,442.7,2012-07-20 12:58:26.890522
2012-07-30 14:00:00.000000,443.0,2012-07-20 13:58:26.890522
2012-07-30 15:00:00.000000,436.5,2012-07-20 14:58:26.890522
2012-07-30 17:00:00.000000,438.0,2012-07-20 16:58:26.890522
2012-07-30 18:00:00.000000,442.5,2012-07-20 17:58:26.890522
2012-07-30 19:00:00.000000,449.3,2012-07-20 18:58:26.890522
2012-07-30 20:00:00.000000,451.8,2012-07-20 19:58:26.890522
2012-07-30 21:00:00.000000,452.3,2012-07-20 20:58:26.890522
2012-07-30 22:00:00.000000,439.9,2012-07-20 21:58:26.890522
2012-07-30 23:00:00.000000,416.9,2012-07-20 22:58:26.890522
2012-07-31 00:00:00.000000,421.4,2012-07-20 23:58:26.890522
2012-07-31 01:00:00.000000,411.2,2012-07-21 00:58:26.890522
2012-07-31 02:00:00.000000,410.0,2012-07-21 01:58:26.890522
2012-07-31 03:00:00.000000,414.9,2012-07-21 02:58:26.890522
2012-07-31 04:00:00.000000,394.9,2012-07-21 03:58:26.890522
2012-07-31 05:00:00.000000,389.3,2012-07-21 04:58:26.890522
2012-07-31 06:00:00.000000,378.7,2012-07-21 05:58:26.890522
2012-07-31 07:00:00.000000,371.8,2012-07-21 06:58:26.890522
2012-07-31 08:00:00.000000,386.0,2012-07-21 07:58:26.890522
2012-07-31 09:00:00.000000,400.2,2012-07-21 08:58:26.890522
2012-07-31 10:00:00.000000,412.5,2012-07-21 09:58:26.890522
2012-07-31 11:00:00.000000,407.4,2012-07-21 10:58:26.890522
2012-07-31 12:00:00.000000,401.7,2012-07-21 11:58:26.890522
2012-07-31 13:00:00.000000,409.1,2012-07-21 12:58:26.890522
2012-07-31 14:00:00.000000,414.6,2012-07-21 13:58:26.890522
2012-07-31 15:00:00.000000,409.5,2012-07-21 14:58:26.890522
2012-07-31 16:00:00.000000,406.9,2012-07-21 15:58:26.890522
2012-07-31 17:00:00.000000,414.9,2012-07-21 16:58:26.890522
2012-07-31 18:00:00.000000,407.5,2012-07-21 17:58:26.890522
2012-07-31 19:00:00.000000,401.8,2012-07-21 18:58:26.890522
2012-07-31 20:00:00.000000,410.4,2012-07-21 19:58:26.890522
2012-07-31 21:00:00.000000,412.1,2012-07-21 20:58:26.890522
2012-07-31 22:00:00.000000,415.6,2012-07-21 21:58:26.890522
2012-07-31 23:00:00.000000,410.8,2012-07-21 22:58:26.890522
